name,cr,type,size,ac,hp,align,legendary,str,dex,con,int,wis,cha,Action,Speed_Scraped,Skill,XP
blink-dog,1,fey,Medium,13,22,lawful good,,12,17,12,10,13,11,"Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage.Teleport (Recharge 4-6). The dog magically teleports, along with any equipment it is wearing or carrying, up to 40 feet to an unoccupied space it can see. Before or after teleporting, the dog can make one bite attack.A blink dog takes its name from its ability to blink in and out of existence, a talent ",40 ft.,"Perception +3, Stealth +5",50
bone-devil,9,fiend (devil),Large,19,142,lawful evil,,18,16,18,13,14,16,"Multiattack. The devil makes three attacks: two with its claws and one with its sting.Claw. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 8 (1d8 + 4) slashing damage.Sting. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 13 (2d8 + 4) piercing damage plus 17 (5d6) poison damage, and the target must succeed on a DC 14 Constitution saving throw or become poisoned for 1","40 ft., fly 40 ft.","Deception +7, Insight +6",5000
brass-dragon-wyrmling,1,dragon,Medium,16,16,chaotic good,,15,10,13,10,11,13,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage.Breath Weapons (Recharge 5-6). The dragon uses one of the following breath weapons.Fire Breath. The dragon exhales fire in an 20-foot line that is 5 feet wide. Each creature in that line must make a DC 11 Dexterity saving throw, taking 14 (4d6) fire damage on a failed save, or half as much damage on a ","30 ft., burrow 15 ft., fly 60 ft.","Perception +4, Stealth +2",200
bronze-dragon-wyrmling,2,dragon,Medium,17,32,lawful good,,17,10,15,12,11,15,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage.Breath Weapons (Recharge 5-6). The dragon uses one of the following breath weapons.Lightning Breath. The dragon exhales lightning in a 40-foot line that is 5 feet wide. Each creature in that line must make a DC 12 Dexterity saving throw, taking 16 (3d10) lightning damage on a failed save, or half as mu","30 ft., fly 60 ft., swim 30 ft.","Perception +4, Stealth +2",450
brown-bear,1,beast,Large,11,34,unaligned,,19,10,16,2,13,7,"Multiattack. The bear makes two attacks: one with its bite and one with its claws.Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage.Claws. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.Monster Manual (SRD)","40 ft., climb 30 ft.",Perception +3,200
bugbear,1,humanoid (goblinoid),Medium,16,27,chaotic evil,,15,14,13,8,11,9,"Morningstar. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 11 (2d8 + 2) piercing damage.Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 9 (2d6 + 2) piercing damage in melee or 5 (1d6 + 2) piercing damage at range.Bugbears are hairy goblinoids born for battle and mayhem. They survive by raiding and hunting, but are fond of setting",30 ft.,"Stealth +6, Survival +2",200
bulette,5,monstrosity,Large,17,94,unaligned,,19,11,21,2,10,5,"Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 30 (4d12 + 4) piercing damage.Deadly Leap. If the bulette jumps at least 15 feet as part of its movement, it can then use this action to land on its feet in a space that contains one or more other creatures. Each of those creatures must succeed on a DC 16 Strength or Dexterity saving throw (target's choice) or be knocked prone and","40 ft., burrow 40 ft.",Perception +6,1800
darkmantle,1,monstrosity,Small,11,22,unaligned,,16,12,13,2,10,5,"Crush. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 6 (1d6 + 3) bludgeoning damage, and the darkmantle attaches to the target. If the target is Medium or smaller and the darkmantle has advantage on the attack roll, it attaches by engulfing the target's head, and the target is also blinded and unable to breathe while the darkmantle is attached in this way. While attached to the t","10 ft., fly 30 ft.",Stealth +3,100
cat,0,beast,Tiny,12,2,unaligned,,3,15,10,3,12,7,"Claws. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 slashing damage.Monster Manual (SRD)","40 ft., climb 30 ft.","Perception +3, Stealth +4",10
centaur,2,monstrosity,Large,12,45,neutral good,,18,14,14,9,13,11,"Multiattack. The centaur makes two attacks: one with its pike and one with its hooves or two with its longbow.Pike. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 9 (1d10 + 4) piercing damage.Hooves. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.Longbow. Ranged Weapon Attack: +4 to hit, range 150/600 ft., one target. Hit: 6 (1d8 + 2) ",50 ft.,"Athletics +6, Perception +3, Survival +3",450
chain-devil,8,fiend (devil),Medium,16,85,lawful evil,,18,15,18,11,12,14,"Multiattack. The devil makes two attacks with its chains.Chain. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) slashing damage. The target is grappled (escape DC 14) if the devil isn't already grappling a creature. Until this grapple ends, the target is restrained and takes 7 (2d6) piercing damage at the start of each of its turns.Animate Chains (Recharges after a Shor",30 ft.,,3900
chimera,6,monstrosity,Large,14,114,chaotic evil,,19,11,19,3,14,10,"Multiattack. The chimera makes three attacks: one with its bite, one with its horns, and one with its claws. When its fire breath is available, it can use the breath in place of its bite or horns.Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) piercing damage.Horns. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 10 (1d12 + 4) bludgeoning damage.Claws","30 ft., fly 60 ft.",Perception +8,2300
chuul,4,aberration,Large,16,93,chaotic evil,,19,10,16,5,11,5,"Multiattack. The chuul makes two pincer attacks. If the chuul is grappling a creature, the chuul can also use its tentacles once.Pincer. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage. The target is grappled (escape DC 14) if it is a Large or smaller creature and the chuul doesn't have two other creatures grappled.Tentacles. One creature grappled by ","30 ft., swim 30 ft.",Perception +4,1100
clay-golem,9,construct,Large,14,133,unaligned,,20,9,18,3,8,1,"Multiattack. The golem makes two slam attacks.Slam. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 16 (2d10 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 15 Constitution saving throw or have its hit point maximum reduced by an amount equal to the damage taken. The target dies if this attack reduces its hit point maximum to 0. The reduction lasts until",20 ft.,,5000
cloaker,8,aberration,Large,14,78,chaotic neutral,,17,15,12,13,12,14,"Multiattack. The cloaker makes two attacks: one with its bite and one with its tail.Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one creature. Hit: 10 (2d6 + 3) piercing damage, and if the target is Large or smaller, the cloaker attaches to it. If the cloaker has advantage against the target, the cloaker attaches to the target's head, and the target is blinded and unable to breathe while the","10 ft., fly 40 ft.",Stealth +5,3900
cloud-giant,9,giant,Huge,14,200,neutral good ,,27,10,22,12,16,16,"Multiattack. The giant makes two morningstar attacks.Morningstar. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 21 (3d8 + 8) piercing damage.Rock. Ranged Weapon Attack: +12 to hit, range 60/240 ft., one target. Hit: 30 (4d10 + 8) bludgeoning damage.A cloud giant earns its place in the ordning by the treasure it accumulates, the wealth it wears, and the gifts it bestows on other c",40 ft.,"Insight +7, Perception +7",5000
giant-bat,1,beast,Large,13,22,unaligned,,15,16,11,2,12,6,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) piercing damage.Monster Manual (SRD)","10 ft., fly 60 ft.",,50
commoner,0,humanoid (any race),Medium,10,4,any alignment,,10,10,10,10,10,10,"Club. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.Commoners include peasants, serfs, slaves, servants, pilgrims, merchants, artisans, and hermits.Monster Manual (SRD)",30 ft.,,10
gnoll,1,humanoid (gnoll),Medium,15,22,chaotic evil,,14,12,11,6,10,7,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 4 (1d4 + 2) piercing damage.Spear. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d6 + 2) piercing damage, or 6 (1d8 + 2) piercing damage if used with two hands to make a melee attack.Longbow. Ranged Weapon Attack: +3 to hit, range 150/600 ft., one target. Hit: 5 (1d8 + 1) piercing",30 ft.,,100
copper-dragon-wyrmling,1,dragon,Medium,16,22,chaotic good,,15,12,13,14,11,13,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage.Breath Weapons (Recharge 5-6). The dragon uses one of the following breath weapons.Acid Breath. The dragon exhales acid in an 20-foot line that is 5 feet wide. Each creature in that line must make a DC 11 Dexterity saving throw, taking 18 (4d8) acid damage on a failed save, or half as much damage on a ","30 ft., climb 30 ft., fly 60 ft.","Perception +4, Stealth +3",200
couatl,4,celestial,Medium,19,97,lawful good,,16,20,17,18,20,18,"Bite. Melee Weapon Attack: +8 to hit, reach 5 ft., one creature. Hit: 8 (1d6 + 5) piercing damage, and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 24 hours. Until this poison ends, the target is unconscious. Another creature can use an action to shake the target awake.Constrict. Melee Weapon Attack: +6 to hit, reach 10 ft., one Medium or smaller creature. Hit: 1","30 ft., fly 90 ft.",,1100
crab,0,beast,Tiny,11,2,unaligned,,2,11,10,1,8,2,"Claw. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 bludgeoning damage.Monster Manual (SRD)","20 ft., swim 20 ft.",Stealth +2,10
crawling-claw,0,undead,Tiny,12,2,neutral evil,,13,14,11,5,10,4,"Claw. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) bludgeoning or slashing damage (claw's choice).Monster Manual (BR+)","20 ft., climb 20 ft.",,10
gray-ooze,1,ooze,Medium,8,22,unaligned,,12,6,16,1,6,2,"Pseudopod. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) bludgeoning damage plus 7 (2d6) acid damage, and if the target is wearing nonmagical metal armor, its armor is partly corroded and takes a permanent and cumulative -1 penalty to the AC it offers. The armor is destroyed if the penalty reduces its AC to 10.Monster Manual (SRD)","10 ft., climb 10 ft.",Stealth +2,100
cult-fanatic,2,humanoid (any race),Medium,13,33,any non-good alignment,,11,14,12,10,13,14,"Multiattack. The fanatic makes two melee attacks.Dagger. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one creature. Hit: 4 (1d4 + 2) piercing damage.Fanatics are often part of a cult's leadership, using their charisma and dogma to influence and prey on those of weak will. Most are interested in personal power above all else.Monster Manual (SRD)",30 ft.,"Deception +4, Persuasion +4, Religion +2",450
lizardfolk,1,humanoid (lizardfolk),Medium,15,22,neutral,,15,10,13,7,12,7,"Multiattack. The lizardfolk makes two melee attacks, each one with a different weapon.Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.Heavy Club. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage.Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) ","30 ft., swim 30 ft.","Perception +3, Stealth +4, Survival +5",100
cyclops,6,giant,Huge,14,138,chaotic neutral,,22,11,20,8,6,10,"Multiattack. The cyclops makes two greatclub attacks.Greatclub. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 19 (3d8 + 6) bludgeoning damage.Rock. Ranged Weapon Attack: +9 to hit, range 30/120 ft., one target. Hit: 28 (4d10 + 6) bludgeoning damage.Cyclopes are one-eyed giants that eke out a meager existence in wild lands. They are a terrifying threat in combat due to their size a",30 ft.,,2300
dao,11,elemental,Large,18,187,neutral evil,,23,12,24,12,13,14,"Multiattack. The dao makes two fist attacks or two maul attacks.Fist. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.Maul. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 20 (4d6 + 6) bludgeoning damage. If the target is a Huge or smaller creature, it must succeed on a DC 18 Strength check or be knocked prone.Monster Manual (BR+)","30 ft., burrow 30 ft., fly 30 ft.",,7200
magma-mephit,1,elemental,Small,11,22,neutral evil,,8,12,12,7,10,10,"Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 3 (1d4 + 1) slashing damage plus 2 (1d4) fire damage.Fire Breath (Recharge 6). The mephit exhales a 15-foot cone of fire. Each creature in that area must make a DC 11 Dexterity saving throw, taking 7 (2d6) fire damage on a failed save, or half as much damage on a successful one.Monster Manual (SRD)","30 ft., fly 30 ft.",Stealth +3,100
death-dog,1,monstrosity,Medium,12,39,neutral evil,,15,14,14,3,13,6,"Multiattack. The dog makes two bite attacks.Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. If the target is a creature, it must succeed on a DC 12 Constitution saving throw against disease or become poisoned until the disease is cured. Every 24 hours that elapse, the creature must repeat the saving throw, reducing its hit point maximum by 5 (1d10) ",40 ft.,"Perception +5, Stealth +4",200
piercer,1,monstrosity,Medium,15,22,unaligned,,10,13,16,1,7,3,"Drop. Melee Weapon Attack: +3 to hit, one creature directly underneath the piercer. Hit: 3 (1d6) piercing damage per 10 feet fallen, up to 21 (6d6). Miss: The piercer takes half the normal falling damage for the distance fallen.Monster Manual (BR+)","5 ft., climb 5 ft.",Stealth +5,100
deer,0,beast,Medium,13,4,unaligned,,11,16,11,2,14,5,"Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) piercing damage.Monster Manual (SRD)",50 ft.,,10
reef-shark,1,beast,Medium,12,22,unaligned,,14,13,13,1,10,4,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage.Reef sharks measure 6 to 10 feet long, and inhabit shallow waters and coral reefs.Monster Manual (SRD)","0 ft., swim 40 ft.",Perception +2,100
deva,10,celestial,Medium,17,136,lawful good,,18,18,18,17,20,20,"Multiattack. The deva makes two melee attacks.Mace. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) bludgeoning damage plus 18 (4d8) radiant damage.Healing Touch (3/Day). The deva touches another creature. The target magically regains 20 (4d8 + 2) hit points and is freed from any curse, disease, poison, blindness, or deafness.Change Shape. The deva magically polymorphs in","30 ft., fly 90 ft.","Insight +9, Perception +9",5900
devilroot,7,plant,Medium,15,105,neutral evil,,17,11,17,12,14,14,"Multiattack. The devilroot makes two melee attacks.Fiendish Vine. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 10 (2d6 + 3) bludgeoning damage. If the target is a creature, it must then succeed on a DC 16 Constitution saving throw or become poisoned and infected with a disease. Creatures immune to the poisoned condition are immune to this disease. While infected in this way, a ta",30 ft.,Perception +5,2900
sahuagin,1,humanoid (sahuagin),Medium,12,22,lawful evil,,13,11,12,12,13,9,"Multiattack. The sahuagin makes two melee attacks: one with its bite and one with its claws or spear.Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) piercing damage.Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) slashing damage.Spear. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 +","30 ft., swim 40 ft.",Perception +5,100
dire-wolf,1,beast,Large,14,37,unaligned,,17,15,15,3,12,7,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.Monster Manual (SRD)",50 ft.,"Perception +3, Stealth +4",200
djinni,11,elemental,Large,17,161,chaotic good,,21,15,22,15,16,20,"Multiattack. The djinni makes three scimitar attacks.Scimitar. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage plus 3 (1d6) lightning or thunder damage (djinni's choice).Create Whirlwind. A 5-foot-radius, 30-foot-tall cylinder of swirling air magically forms on a point the djinni can see within 120 feet of it. The whirlwind lasts as long as the djinni mai","30 ft., fly 90 ft.",,7200
smoke-mephit,1,elemental,Small,12,22,neutral evil,,6,14,12,10,10,11,"Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 4 (1d4 + 2) slashing damage.Cinder Breath (Recharge 6). The mephit exhales a 15-foot cone of smoldering ash. Each creature in that area must succeed on a DC 10 Dexterity saving throw or be blinded until the end of the mephit's next turn.Monster Manual (BR+)","30 ft., fly 30 ft.","Perception +2, Stealth +4",50
doppelganger,3,monstrosity (shapechanger),Medium,14,52,neutral,,11,18,14,11,12,14,"Multiattack. The doppelganger makes two melee attacks.Slam. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) bludgeoning damage.Read Thoughts. The doppelganger magically reads the surface thoughts of one creature within 60 feet of it. The effect can penetrate barriers, but 3 feet of wood or dirt, 2 feet of stone, 2 inches of metal, or a thin sheet of lead blocks it. While ",30 ft.,"Deception +6, Insight +3",700
swarm-of-bats,1,swarm of Tiny beasts,Medium,12,22,unaligned,,5,15,10,2,12,4,"Bites. Melee Weapon Attack: +4 to hit, reach 0 ft., one creature in the swarm's space. Hit: 5 (2d4) piercing damage, or 2 (1d4) piercing damage if the swarm has half of its hit points or fewer.Monster Manual (SRD)","0 ft., fly 30 ft.",,50
dragon-turtle,17,dragon,Gargantuan,20,341,neutral,,25,10,20,10,12,12,"Multiattack. The dragon turtle makes three attacks: one with its bite and two with its claws. It can make one tail attack in place of its two claw attacks.Bite. Melee Weapon Attack: +13 to hit, reach 15 ft., one target. Hit: 26 (3d12 + 7) piercing damage.Claw. Melee Weapon Attack: +13 to hit, reach 10 ft., one target. Hit: 16 (2d8 + 7) slashing damage.Tail. Melee Weapon Attack: +13 to hit, reach 1","20 ft., swim 40 ft.",,18000
swarm-of-insects,1,swarm of Tiny beasts,Medium,12,22,unaligned,,3,13,10,1,7,1,"Bites. Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.Monster Manual (SRD)","20 ft., climb 20 ft.",,100
drider,6,monstrosity,Large,19,123,chaotic evil,,16,16,18,13,14,12,"Multiattack. The drider makes three attacks, either with its longsword or its longbow. It can replace one of those attacks with a bite attack.Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one creature. Hit: 2 (1d4) piercing damage plus 9 (2d8) poison damage.Longsword. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage, or 8 (1d10 + 3) slashing damage if ","30 ft., climb 30 ft.","Perception +5, Stealth +9",2300
swarm-of-rot-grubs,1,swarm of Tiny beasts,Medium,8,22,unaligned,,2,7,10,1,2,1,Bites.Monsters of the Multiverse,"5 ft., climb 5 ft.",,100
drow-house-captain,9,humanoid (elf),Medium,16,162,neutral evil,,14,19,15,12,14,13,"Multiattack. The drow makes two Scimitar attacks and one Whip or Hand Crossbow attack.Scimitar. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) slashing damage plus 14 (4d6) poison damage.Whip. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 6 (1d4 + 4) slashing damage.Hand Crossbow. Ranged Weapon Attack: +8 to hit, range 30/120 ft., one target. Hit: 7 (1d6",30 ft.,"Perception +6, Stealth +8",5000
drow-inquisitor,14,humanoid (elf),Medium,16,143,neutral evil,,11,15,14,16,21,20,"Multiattack. The drow makes three Death Lance attacks.Death Lance. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 8 (1d6 + 5) piercing damage plus 18 (4d8) necrotic damage. The target's hit point maximum is reduced by an amount equal to the necrotic damage taken. This reduction lasts until the target finishes a long rest. The target dies if its hit point maximum is reduced to 0.Spe",30 ft.,"Insight +10, Perception +10, Religion +8, Stealth +7",11500
drow-mage,7,humanoid (elf),Medium,12,45,neutral evil,,9,14,10,17,13,12,"Staff. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d6 - 1) bludgeoning damage, or 3 (1d8 - 1) bludgeoning damage if used with two hands, plus 3 (1d 6) poison damage.Summon Demon (1/Day). The drow magically summons a quasit, or attempts to summon a shadow demon with a 50 percent chance of success. The summoned demon appears in an unoccupied space within 60 feet of its summoner",30 ft.,"Arcana +6, Deception +5, Perception +4, Stealth +5",2900
druid,2,humanoid (any race),Medium,11,27,any alignment,,10,12,13,12,15,11,"Quarterstaff. Melee Weapon Attack: +2 to hit (+4 to hit with shillelagh), reach 5 ft., one target. Hit: 3 (1d6) bludgeoning damage, 4 (1d8) bludgeoning damage if wielded with two hands, or 6 (1d8 + 2) bludgeoning damage with shillelagh.Druids dwell in forests and other secluded wilderness locations, where they protect the natural world from monsters and the encroachment of civilization. Some are t",30 ft.,"Medicine +4, Nature +3, Perception +4",450
dryad,1,fey,Medium,11,22,neutral,,10,12,11,14,15,18,"Club. Melee Weapon Attack: +2 to hit (+6 to hit with shillelagh), reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage, or 8 (1d8 + 4) bludgeoning damage with shillelagh.Fey Charm. The dryad targets one humanoid or beast that she can see within 30 feet of her. If the target can see the dryad, it must succeed on a DC 14 Wisdom saving throw or be magically charmed. The charmed creature regards t",30 ft.,"Perception +4, Stealth +5",200
duergar,1,humanoid (dwarf),Medium,16,26,lawful evil,,14,11,14,11,10,9,"Enlarge (Recharges after a Short or Long Rest). For 1 minute, the duergar magically increases in size, along with anything it is wearing or carrying. While enlarged, the duergar is Large, doubles its damage dice on Strength-based weapon attacks (included in the attacks), and makes Strength checks and Strength saving throws with advantage. If the duergar lacks the room to become Large, it attains t",25 ft.,,200
eagle,0,beast,Small,12,3,unaligned,,6,15,10,2,14,7,,"10 ft., fly 60 ft.",Perception +4,10
earth-elemental,5,elemental,Large,17,126,neutral,,20,8,20,5,10,5,"Multiattack. The elemental makes two slam attacks.Slam. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 14 (2d8 + 5) bludgeoning damage.An earth elemental plods forward like a walking hill, club-like arms of jagged stone swinging at its sides. Its head and body consist of dirt and stone, occasionally set with chunks of metal, gems, and bright minerals.Monster Manual (SRD)","30 ft., burrow 30 ft.",,1800
efreeti,11,elemental,Large,17,200,lawful evil,,22,12,24,16,15,16,"Multiattack. The efreeti makes two scimitar attacks or uses its Hurl Flame twice.Scimitar. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage plus 7 (2d6) fire damage.Hurl Flame. Ranged Spell Attack: +7 to hit, range 120 ft., one target. Hit: 17 (5d6) fire damage.Monster Manual (SRD)","40 ft., fly 60 ft.",,7200
elephant,4,beast,Huge,12,76,unaligned,,22,9,17,3,11,6,"Gore. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 19 (3d8 + 6) piercing damage.Stomp. Melee Weapon Attack: +8 to hit, reach 5 ft., one prone creature. Hit: 22 (3d10 + 6) bludgeoning damage.Monster Manual (SRD)",40 ft.,,1100
warhorse-skeleton,1,undead,Large,13,22,lawful evil,,18,12,15,2,8,5,"Hooves. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.Monster Manual (SRD)",60 ft.,,100
erinyes,12,fiend (devil),Medium,18,153,lawful evil,,18,16,18,14,14,18,"Multiattack. The erinyes makes three attacks.Longsword. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) slashing damage, or 9 (1d10 + 4) slashing damage if used with two hands, plus 13 (3d8) poison damage.Longbow. Ranged Weapon Attack: +7 to hit, range 150/600 ft., one target. Hit: 7 (1d8 + 3) piercing damage plus 13 (3d8) poison damage, and the target must succeed on a D","30 ft., fly 60 ft.",,8400
ettercap,2,monstrosity,Medium,13,44,neutral evil,,14,15,13,7,12,8,"Multiattack. The ettercap makes two attacks: one with its bite and one with its claws.Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 6 (1d8 + 2) piercing damage plus 4 (1d8) poison damage. The target must succeed on a DC 11 Constitution saving throw or be poisoned for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on its","30 ft., climb 30 ft.","Perception +3, Stealth +4, Survival +3",450
ettin,4,giant,Large,12,85,chaotic evil,,21,8,17,6,10,8,"Multiattack. The ettin makes two attacks: one with its battleaxe and one with its morningstar.Battleaxe. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) slashing damage.Morningstar. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) piercing damage.Monster Manual (SRD)",40 ft.,Perception +4,1100
fire-elemental,5,elemental,Large,13,102,neutral,,10,17,16,6,10,7,"Multiattack. The elemental makes two touch attacks.Touch. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) fire damage. If the target is a creature or a flammable object, it ignites. Until a creature takes an action to douse the fire, the target takes 5 (1d10) fire damage at the start of each of its turns.A faint humanoid shape shows in a fire elemental's capricious devas",50 ft.,,1800
fire-giant,9,giant,Huge,18,162,lawful evil,,25,9,23,10,14,13,"Multiattack. The giant makes two greatsword attacks.Greatsword. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 28 (6d6 + 7) slashing damage.Rock. Ranged Weapon Attack: +11 to hit, range 60/240 ft., one target. Hit: 29 (4d10 + 7) bludgeoning damage.With dark skin and flaming red hair, fire giants have a fearsome reputation as soldiers and conquerors. They dwell among volcanoes, lav",30 ft.,"Athletics +11, Perception +6",5000
fire-snake,1,elemental,Medium,14,22,neutral evil,,12,14,11,7,10,8,"Multiattack. The snake makes two attacks: one with its bite and one with its tail.Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) piercing damage plus 3 (1d6) fire damage.Tail. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) bludgeoning damage plus 3 (1d6) fire damage.Monster Manual (BR+)",30 ft.,,200
zombie,1,undead,Medium,8,22,neutral evil,,13,6,16,3,6,5,"Slam. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) bludgeoning damage.Undead zombies move with a jerky, uneven gait. They are clad in the moldering apparel they wore when put to rest, and carry the stench of decay.Monster Manual (SRD)",20 ft.,,50
ice-mephit,1,elemental,Small,11,21,neutral evil,,7,13,10,9,11,12,"Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 3 (1d4 + 1) slashing damage plus 2 (1d4) cold damage.Frost Breath (Recharge 6). The mephit exhales a 15-foot cone of cold air. Each creature in that area must succeed on a DC 10 Dexterity saving throw, taking 5 (2d4) cold damage on a failed save, or half as much damage on a successful one.Monster Manual (SRD)","30 ft., fly 30 ft.","Perception +2, Stealth +3",100
flameskull,4,undead,Tiny,13,40,neutral evil,,1,17,14,16,10,11,"Multiattack. The flameskull uses Fire Ray twice.Fire Ray. Ranged Spell Attack: +5 to hit, range 30 ft., one target. Hit: 10 (3d6) fire damage.Blazing green flames and mad, echoing laughter surround an undead flameskull. This disembodied skull blasts foes with fiery rays from its eyes and dreadful spells called up from the dark recesses of its memory.Monster Manual (BR)","0 ft., fly 40 ft. (hover)","Arcana +5, Perception +2",1100
